"id","model","box_loss","configuration","epochs","precision","recall","map50","map50_95","fused_params_m","fused_gflops","train_time_h","run_name","notes"
"34","SPD+DHFBLOCK-YOLO26-P2","ciou","SPDConv + C3k2-DHF","100","0.450","0.351","0.327","0.189","2.581","9.5","","34_spd_dhf_yolo26n_p2_ciou_lab4090_e100","RTX 4090D best.pt validation result; real S+D pairwise ablation"
"35","SPD+HDFM-YOLO26-P2","ciou","SPDConv + HDFM-v2","100","0.454","0.351","0.324","0.185","2.577","9.0","2.346","35_spd_hdfm_yolo26n_p2_ciou_lab4090_e100","RTX 4090D best.pt validation result; real S+H pairwise ablation"
"36","DHFBLOCK+HDFM-YOLO26-P2","ciou","C3k2-DHF + HDFM-v2","100","0.452","0.345","0.323","0.187","2.624","9.0","2.633","36_dhf_hdfm_yolo26n_p2_ciou_lab4090_e100-2","RTX 4090D best.pt validation result; real D+H pairwise ablation; batch auto-reduced from 16 to 8 due CUDA OOM"
"37","DHF-YOLO26-P2","ciou","full topology; HDFM global logits disabled","100","0.447","0.349","0.321","0.184","2.631","9.9","2.620","37_dhf_local_only_e100_s0","seed 0; fixed batch 16; matched internal HDFM control; best.pt revalidated"
"38","DHF-YOLO26-P2","ciou","full topology; C3k2-DHF local-mean subtraction disabled","100","0.445","0.350","0.321","0.184","2.631","9.9","2.638","38_dhf_no_contrast_e100_s0","seed 0; fixed batch 16; matched internal C3k2-DHF control; best.pt revalidated"
"39","DHFBLOCK+HDFM-YOLO26-P2","ciou","C3k2-DHF + HDFM-v2","100","0.444","0.352","0.321","0.183","2.507","7.8","2.599","39_dhf_hdfm_batch16_e100_s0","seed 0; fixed-batch-16 replacement for confounded run 36; best.pt revalidated"
"40","YOLO26-P2","ciou","none","300","0.452","0.348","0.327","0.188","2.403","6.5","6.393","40_p2_e300_s1","seed 1 paired repeat; random YAML initialization; best.pt revalidated"
"41","DHF-YOLO26-P2","ciou","SPDConv + C3k2-DHF + HDFM-v2","300","0.479","0.371","0.348","0.202","2.631","9.9","7.917","41_dhf_e300_s1","seed 1 paired repeat; random YAML initialization; best.pt revalidated"
"42","YOLO26-P2","ciou","none","300","0.463","0.354","0.332","0.193","2.403","6.5","6.416","42_p2_e300_s2","seed 2 paired repeat; random YAML initialization; best.pt revalidated"
"43","DHF-YOLO26-P2","ciou","SPDConv + C3k2-DHF + HDFM-v2","300","0.477","0.366","0.344","0.201","2.631","9.9","7.906","43_dhf_e300_s2","seed 2 paired repeat; random YAML initialization; best.pt revalidated"
